ID,a_or_b,age,gender,tinder_frequency,group_chat_frequency,self_initiated_lunch,sus_a,sus_b,gesture_count_a,gesture_count_b,button_presses_a,button_presses_b,time_a,time_b
LB42,b,21,male,3,3,2,90,50,18,14,4,3,17,28
YS23,a,22,male,2,2,2,85,40,24,32,5,6,22,24
B1933E,b,25,male,2,5,4,80,42.5,25,14,3,2,34,46
L1230A,a,26,female,3,1,2,92.5,77.5,50,12,7,2,65,45
1101F,b,23,male,2,4,3,80,62,43,22,4,3,45,33
S1194PK,a,23,male,4,2,3,70,62,79,19,9,2,77,47
M1109E,b,24,female,2,3,3,90,77.5,23,20,10,9,32,35
M0705A,a,22,female,3,3,2,92.5,82.5,20,17,8,6,33,37
MC007,b,23,male,4,3,3,75,92.5,14,12,4,3,14,18
CR7,a,23,male,2,5,3,87.5,72.5,9,20,4,3,5,21
AARYAASTARK,b,21,female,2,4,3,82.5,70,10,8,3,2,23,38
SC00BYD00,a,22,female,2,2,3,90,45,28,14,3,2,110,20
